date,stock_id,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent_x,IncomeAfterTaxes,IncomeFromContinuingOperations,OtherComprehensiveIncome,Revenue,TAX,TotalConsolidatedProfitForThePeriod,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentLiabilities,CurrentLiabilities_per,Equity,EquityAttributableToOwnersOfParent_y,EquityAttributableToOwnersOfParent_per,Equity_per,Liabilities,Liabilities_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,OrdinaryShare,OrdinaryShare_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestIncome,NetIncomeBeforeTax,PayTheInterest,PropertyAndPlantAndEquipment,TotalIncomeLossItems,sharpe_ratio
2015-05-16,2409.TW,80954204000.0,0.54,5155660000.0,5272116000.0,5272116000.0,-853797000.0,95301935000.0,501717000.0,4418319000.0,96242451000.0,21.16,59501065000.0,13.08,78324641000.0,17.22,180277767000.0,39.64,161116762000.0,35.43,204844927000.0,185677477000.0,40.83,45.04,249916095000.0,54.96,274483255000.0,60.36,88799333000.0,19.53,96242451000.0,21.16,76957446000.0,16.92,4259084000.0,0.94,222606013000.0,48.95,25674877000.0,5.65,454761022000.0,100.0,454761022000.0,100.0,81965333000.0,78324641000.0,-3640692000.0,12456849000.0,-5055176000.0,13372551000.0,13178547000.0,5773833000.0,-116440000.0,5773833000.0,-769952000.0,-5218015000.0,13775236000.0,
2015-08-15,2409.TW,80450770000.0,0.46,4494939000.0,4430574000.0,4430574000.0,-1127786000.0,92303480000.0,1515996000.0,3302788000.0,96242451000.0,21.13,60115260000.0,13.2,89753829000.0,19.7,190801856000.0,41.88,165807590000.0,36.4,203059725000.0,185034143000.0,40.62,44.57,252489065000.0,55.43,264746934000.0,58.12,86681475000.0,19.03,96242451000.0,21.13,84854885000.0,18.63,3324013000.0,0.73,214249946000.0,47.03,25352419000.0,5.57,455548790000.0,100.0,455548790000.0,100.0,81965333000.0,89753829000.0,7788496000.0,28656192000.0,-9088481000.0,30280112000.0,25295568000.0,11720403000.0,-262649000.0,11720403000.0,-1345367000.0,-10178280000.0,26027665000.0,-0.23757551050206344
2015-11-15,2409.TW,80150931000.0,0.36,3463006000.0,3379426000.0,3379426000.0,2565998000.0,89298990000.0,529263000.0,5945424000.0,96242451000.0,21.38,60097799000.0,13.35,76915236000.0,17.09,180837553000.0,40.17,155997400000.0,34.65,214106501000.0,190880526000.0,42.4,47.56,236061689000.0,52.44,269330637000.0,59.83,80064289000.0,17.79,96242451000.0,21.38,73419043000.0,16.31,5724840000.0,1.27,216670362000.0,48.13,28815436000.0,6.4,450168190000.0,100.0,450168190000.0,100.0,81965333000.0,76915236000.0,-5050097000.0,36685394000.0,-18695851000.0,38552188000.0,36546730000.0,15629092000.0,-388502000.0,15629092000.0,-1926130000.0,-19504027000.0,39459609000.0,-0.04032663007004785
2016-04-01,2409.TW,78953534000.0,-0.85,-8181645000.0,-8239234000.0,-8239234000.0,-1352640000.0,83442089000.0,208992000.0,-9591874000.0,96242451000.0,22.62,60249983000.0,14.16,78880700000.0,18.54,161992140000.0,38.07,141349389000.0,33.22,204636405000.0,181985222000.0,42.76,48.09,220917840000.0,51.91,263562105000.0,61.93,79568451000.0,18.7,96242451000.0,22.62,62662820000.0,14.72,5085511000.0,1.2,208785609000.0,49.06,20407277000.0,4.8,425554245000.0,100.0,425554245000.0,100.0,81965333000.0,78880700000.0,-3084633000.0,62003388000.0,-31734659000.0,64495006000.0,46851487000.0,7598850000.0,-672638000.0,7598850000.0,-2474887000.0,-33440160000.0,56576149000.0,0.05234368517652577
2016-05-16,2409.TW,70745712000.0,-0.57,-5477326000.0,-5580424000.0,-5580424000.0,-1553960000.0,71135232000.0,295396000.0,-7134384000.0,96242451000.0,23.62,60336171000.0,14.81,73655703000.0,18.08,143299028000.0,35.17,130190998000.0,31.95,197357530000.0,175471868000.0,43.06,48.43,210130525000.0,51.57,264189027000.0,64.83,79939527000.0,19.62,96242451000.0,23.62,57430501000.0,14.09,3963269000.0,0.97,208156645000.0,51.08,14929977000.0,3.66,407488055000.0,100.0,407488055000.0,100.0,78880700000.0,73655703000.0,-5224997000.0,7229915000.0,-10637684000.0,7702144000.0,9663583000.0,-5285028000.0,-130401000.0,-5285028000.0,-498518000.0,-10384760000.0,10142550000.0,-0.1545517887666673
2016-08-15,2409.TW,74526564000.0,-0.06,-572407000.0,-803574000.0,-803574000.0,-1489315000.0,80090903000.0,563416000.0,-2292889000.0,96242451000.0,23.06,60428105000.0,14.48,72954216000.0,17.48,145422624000.0,34.84,122391995000.0,29.32,191309665000.0,170773205000.0,40.92,45.84,226075400000.0,54.16,271962441000.0,65.16,103683405000.0,24.84,96242451000.0,23.06,45904466000.0,11.0,3114284000.0,0.75,214058959000.0,51.29,10988365000.0,2.63,417385065000.0,100.0,417385065000.0,100.0,78880700000.0,72954216000.0,-5926484000.0,14823755000.0,-26449506000.0,16736995000.0,19277891000.0,-5525186000.0,-256720000.0,-5525186000.0,-989190000.0,-26355114000.0,20055465000.0,0.33363010904876567
2016-11-15,2409.TW,74709360000.0,0.51,4898015000.0,4615612000.0,4615612000.0,-2250832000.0,86017319000.0,804072000.0,2364780000.0,96242451000.0,22.93,59975957000.0,14.29,74053448000.0,17.65,151937857000.0,36.21,118778588000.0,28.3,192309270000.0,173100298000.0,41.25,45.83,227340494000.0,54.17,267711907000.0,63.79,108561906000.0,25.87,96242451000.0,22.93,43696151000.0,10.41,1422806000.0,0.34,213186688000.0,50.8,15459084000.0,3.68,419649764000.0,100.0,419649764000.0,100.0,78880700000.0,74053448000.0,-4827252000.0,18785862000.0,-34089495000.0,21017357000.0,28673520000.0,-105502000.0,-367077000.0,-105502000.0,-1549127000.0,-37882734000.0,29881102000.0,-0.03658145020695062
2017-04-01,2409.TW,74616381000.0,0.93,8970656000.0,8375097000.0,8375097000.0,-1065537000.0,91845582000.0,2916307000.0,7309560000.0,96242451000.0,22.39,59979723000.0,13.96,80191248000.0,18.66,163346242000.0,38.01,117266175000.0,27.29,199635182000.0,181244699000.0,42.17,46.45,230134069000.0,53.55,266423009000.0,61.99,112867894000.0,26.26,96242451000.0,22.39,40460115000.0,9.41,779372000.0,0.18,222741832000.0,51.83,24243153000.0,5.64,429769251000.0,100.0,429769251000.0,100.0,78880700000.0,80191248000.0,1310548000.0,36695846000.0,-42267327000.0,41581743000.0,38533775000.0,11185902000.0,-494542000.0,11185902000.0,-2105285000.0,-46220129000.0,41111174000.0,0.03825100540331508
2017-05-16,2409.TW,71124067000.0,0.98,9479193000.0,9434633000.0,9434633000.0,-3453932000.0,88556816000.0,2515109000.0,5980701000.0,96242451000.0,22.63,60015004000.0,14.11,85483584000.0,20.1,165768633000.0,38.98,109185564000.0,25.67,205650304000.0,188195046000.0,44.25,48.35,219654766000.0,51.65,259536437000.0,61.02,110469202000.0,25.97,96242451000.0,22.63,38837447000.0,9.13,-1783798000.0,-0.42,216148657000.0,50.82,33721389000.0,7.93,425305070000.0,100.0,425305070000.0,100.0,80191248000.0,85483584000.0,5292336000.0,17285374000.0,-9540039000.0,18182771000.0,9840230000.0,11949742000.0,-115144000.0,11949742000.0,-700560000.0,-9952738000.0,10342059000.0,-0.030371638890686503
2017-08-15,2409.TW,67291581000.0,1.03,9829784000.0,8946489000.0,8946489000.0,2022888000.0,84412400000.0,2697570000.0,10969377000.0,96242451000.0,21.82,60022161000.0,13.61,102800518000.0,23.3,181170121000.0,41.07,118251650000.0,26.81,441143140000.0,194407368000.0,44.07,100.0,229997968000.0,52.14,259973019000.0,58.93,111746318000.0,25.33,96242451000.0,21.82,47003276000.0,10.65,-17708000.0,0.0,216104848000.0,48.99,38160464000.0,8.65,441143140000.0,100.0,441143140000.0,100.0,80191248000.0,102800518000.0,22609270000.0,41912354000.0,-18290209000.0,43503999000.0,18673261000.0,23593801000.0,-267809000.0,23593801000.0,-1277956000.0,-18216313000.0,20064370000.0,0.05457527379364991
